"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Magnificent Century enters The Sandbox Metaverse""","https://www.cryptonewsz.com/magnificent-century-enters-the-sandbox-metaverse/","2023-07-17 13:00:41","Roxanne Williams","Cryptonewsz","India","Top","English","Magnificent Century has announced that it is soon joining the digital space of The Sandbox, also referred to as Sandbox, in this article. The plan looks airtight, and if the team proceeds to join the Metaverse, then it will be the second television series to do so. The first is The Walking Dead. Magnificent Century …","",""
"""BSE-listed firms’ market valuation touches all-time high of Rs 303.59 lakh crore""","https://www.orissapost.com/bse-listed-firms-market-valuation-touches-all-time-high-of-rs-303-59-lakh-crore/","2023-07-17 12:53:31","Post News Network","Orissa Post","India","Top","English","New Delhi: The market capitalisation of BSE-listed firms reached an all-time high of Rs 303.59 lakh crore as investors continued to be bullish and benchmark Sensex hit a record 66,656.21 points Monday. The 30-share BSE Sensex climbed 529.03 points, or 0.80 per cent, to settle at its new lifetime closing high of 66,589.93 points. Earlier […]","https://i0.wp.com/www.orissapost.com/wp-content/uploads/2022/07/upload-sensex.jpg?fit=300%2C184=1",""
"""IT Raids YouTuber in UP: Digital Content Creator’s Rs 1 Crore Income Invites Income Tax Raid in Bareilly""","https://www.latestly.com/india/news/it-raids-youtuber-in-up-digital-content-creators-rs-1-crore-income-invites-income-tax-raid-in-bareilly-5271745.html","2023-07-17 10:41:05","","Latestly","India","Top","English","Previously, the homes and businesses of 13 well-known YouTubers and content creators in Kerala, including actress Pearle Maaney, were raided by the Income Tax (IT) division.","",""
"""The aftermath of the ftx exchange collapse reshapes Bitcoin deposits, withdrawals""","https://en.news4social.com/cryptocurrency-news/the-aftermath-of-the-ftx-exchange-collapse-reshapes-bitcoin-deposits-withdrawals/","2023-07-17 10:38:19","Cryptocurrency News","News4social","India","Top","English","The aftermath of the ftx exchange collapse reshapes Bitcoin deposits, withdrawals Quick Take The downfall of the FTX exchange in November 2022, led by Sam Bankman-Fried, marked a pivotal point in the landscape of Bitcoin deposits and withdrawals. The incident led to a drop in Bitcoin price below $16,000, the lowest point in that cycle. […]","",""
"""Sensex, Nifty settle at new record high levels on buying in banking, oil shares""","https://www.orissapost.com/sensex-nifty-settle-at-new-record-high-levels-on-buying-in-banking-oil-shares/","2023-07-17 10:32:59","Post News Network","Orissa Post","India","Top","English","Mumbai: Benchmark Sensex and Nifty closed at new lifetime high levels Monday on foreign fund inflows and buying in index majors HDFC Bank and Reliance Industries. The 30-share BSE Sensex jumped 529.03 points or 0.80 per cent to settle at its new all-time closing high of 66,589.93. During the day, it climbed 595.31 points or […]","https://i0.wp.com/www.orissapost.com/wp-content/uploads/2022/04/Stock-market.jpg?fit=300%2C200=1",""
"""NSE Imposes Fine of Rs 1.67 Crore on Angel One, Bans From Onboarding New Authorised Persons for 6 Months; Shares Slump 7%""","https://www.latestly.com/india/news/nse-imposes-fine-of-rs-1-67-crore-on-angel-one-bans-from-onboarding-new-authorised-persons-for-6-months-shares-slump-7-5271567.html","2023-07-17 09:44:42","","Latestly","India","Top","English","Authorised person means any -- individual, partnership firm OR LLP -- who is appointed as such by a stockbroker and who provides access to the trading platform of a stock exchange as an agent of the stockbroker, as per the exchanges' websites.","",""
"""How to become rich in India: Four smart ways to grow your surplus money""","https://www.livemint.com/money/personal-finance/how-to-become-rich-in-india-four-smart-ways-to-grow-your-surplus-money-11689578302705.html","2023-07-17 07:38:23","","Mint","India","Business","English","Investing in stocks, renting out on Airbnb, lease rental discounting, and digital marketing are some ways to become rich in India, according to experts","https://www.livemint.com/lm-img/img/2023/07/17/1600x900/How_to_become_rich_in_India_1689579328851_1689579329108.jpg",""
"""Elon Musk Distracted by Twitter, Should Focus on Tesla as EV Rivals Pick Up Pace, Investors Say in Survey""","https://www.gadgets360.com/auto/news/elon-musk-tesla-focus-twitter-distraction-investors-survey-ev-rivals-competition-4214255#rss-gadgets-all","2023-07-17 07:38:22","","Gadgets 360","India","Top","English","Out of 630 global MLIV Pulse contributors, 54 percent flagged the heightened risk of industry competition while 26 percent picked the behavior and decisions of its mercurial chief as a key concern for Tesla shareholders.","",""
"""Rupee rises 6 paise to 82.11 against US dollar in early trade""","https://telanganatoday.com/rupee-rises-6-paise-to-82-11-against-us-dollar-in-early-trade","2023-07-17 07:30:16","PTI","Telangana Today","India","Business","English","A surge in crude oil prices capped sharp gains for the local unit, forex traders said.","",""
"""Investors want Elon Musk to focus on Tesla as EV race intensifies""","https://www.inventiva.co.in/business/economy/elon-musk-focus-on-tesla-as-ev/","2023-07-17 07:23:49","heenagupta","Inventiva","India","Top","English","Investors want Elon Musk to focus on Tesla as EV race intensifies Following Tesla Inc.’s impressive $500 billion rally this year, skeptics have emerged to question the sustainability of the company’s success. These sceptics point to rival automakers who are capitalizing on the surging demand for electric vehicles, posing a significant challenge to Tesla in …","",""
